20 1 1 7266,114 1391,391 4924,208 760,432 8067,928 1193,099 3261,910 268,738 4051,360 520,926 348,471 157,793 722,811 313,286 1622,640 167,941 6923,406 705,317 4219,601 99,428 9510,707 856,274 3147,904 102,578 2806,393 798,927 872,319 70,110 
20 1 2 4628,264 711,532 6579,448 1023,895 4715,983 571,532 4062,329 143,598 2660,347 367,977 884,713 218,924 26,380 2,403 1538,218 73,081 4278,623 757,875 6045,536 263,048 5820,799 475,086 8870,334 759,291 1058,842 186,475 748,499 54,266 
20 1 3 2585,594 231,988 6150,111 273,171 3818,207 292,460 4906,809 164,412 1171,862 162,899 773,263 60,327 21,645 2,156 1707,733 114,411 2931,379 340,144 6025,829 176,201 4064,001 288,742 13916,680 423,762 890,478 131,977 456,226 38,025 
20 1 4 2224,726 244,041 5946,262 240,855 2910,148 244,955 4777,308 170,800 1066,154 156,437 868,311 105,644 15,714 1,010 1734,479 65,579 2659,541 292,297 6482,707 162,948 3405,815 181,074 19947,065 831,282 636,032 64,964 394,697 20,009 
20 1 5 1779,456 98,030 5895,271 163,764 2330,750 203,475 4931,862 175,319 954,455 164,901 986,582 100,086 12,743 0,372 1735,532 40,736 2084,329 211,910 6778,452 120,138 2874,458 98,215 24631,730 702,671 505,900 40,130 354,245 17,583 
20 1 6 1584,381 105,174 6031,043 133,137 2117,822 135,922 5161,279 165,556 1047,248 184,337 892,604 100,032 10,679 0,475 1831,168 62,326 1802,698 182,478 7118,811 151,722 2459,807 133,553 31036,829 1026,207 496,869 39,512 311,813 13,186 
20 1 7 1404,426 64,364 6241,203 175,422 1817,687 161,146 5091,718 160,154 791,649 181,358 1120,654 138,216 9,258 0,237 1832,796 26,486 1460,681 125,065 7371,978 149,778 2327,518 122,801 35775,083 835,179 490,765 35,805 298,458 12,952 
20 1 8 1152,450 63,518 6710,049 359,564 1442,068 193,804 4926,599 161,790 843,531 179,294 1139,696 134,360 8,304 0,214 1826,701 43,169 1286,094 136,208 7527,729 151,375 2003,569 71,806 40934,635 1326,205 429,991 24,511 265,119 9,604 
20 1 9 1180,497 65,490 8543,702 1686,818 1451,814 72,730 5223,861 184,300 680,484 103,664 1314,922 79,853 7,375 0,137 1873,852 25,532 1112,776 105,897 7661,608 150,436 1956,808 100,528 46863,856 1189,205 355,455 13,595 250,585 10,002 
20 1 10 1005,048 59,433 6278,019 283,745 1363,780 67,556 5272,002 163,839 475,678 73,061 1420,997 81,096 6,949 0,155 1936,461 32,534 1172,725 97,655 7887,287 159,396 1800,247 86,877 51201,408 1904,425 322,267 15,747 229,491 9,719 
20 1 11 969,253 51,276 6484,463 267,409 1267,475 61,695 5509,325 219,655 637,934 111,415 1402,982 89,718 6,150 0,065 1906,326 23,353 978,273 68,988 8210,778 180,780 1755,153 88,890 57457,443 1621,018 278,823 12,129 200,436 5,415 
